충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인
마니산국민관광지,14954.29000,400,인천광역시 강화군 화도면 마니산로675번길 18,126.42380,37.63246,강화군,0,0,0,0,14,1,2,4,,27,156.00000,541.00000
모탱이공원,11623.37000,222,인천광역시 계양구 동양동 607-1,126.75489,37.56187,계양구,0,11,0,1,124,12,6,1,6386.00000,134,449.00000,29009.00000
부원 공영주차장,36475.69000,589,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,126.71936,37.49232,부평구,0,4,1,5,1094,41,20,20,75907.00000,1840,556.00000,174261.00000
부평국민체육센터,13994.98000,295,"인천광역시 부평구 부평대로296번길 33 (갈산동, 부평구 다목적 실내체육관)",126.72347,37.51863,부평구,0,8,2,2,769,109,14,17,50320.00000,1053,672.00000,134994.00000
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,1,15,2,7,1190,87,29,23,493901.00000,2293,636.00000,195994.00000
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,2,7,0,2,379,13,16,11,8494.00000,816,526.00000,80238.00000
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,3,11,1,2,354,23,14,2,63426.00000,337,584.00000,74413.00000
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,2,10,0,7,275,54,7,9,18189.00000,565,854.00000,40805.00000
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,4,5,1,5,580,68,27,26,8290.00000,959,563.00000,69684.00000
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,3,18,3,3,480,74,18,9,40110.00000,714,726.00000,94256.00000
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,0,5,2,4,206,39,12,4,34880.00000,722,422.00000,55746.00000
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,0,0,0,2,275,22,10,3,65036.00000,579,763.00000,48437.00000
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,0,0,5,3,292,136,12,5,105319.00000,791,963.00000,72166.00000
