충전소,충전량_kWh,충전일수,주소,X좌표,Y좌표,시군구명,도서관,민행기,변압기,전기차,경제인구수,주차면수,건물수
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,19,181,3349,237,564849.00000,655110.00000,611.00000
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,29,232,5144,371,719657.00000,611249.00000,754.00000
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,9,143,2754,279,454949.00000,625790.00000,520.00000
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,28,86,1872,182,280951.00000,74523.00000,241.00000
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,34,162,4280,268,369296.00000,116439.00000,436.00000
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,8,122,2053,251,377093.00000,562721.00000,376.00000
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,4,38,1932,122,120869.00000,70524.00000,160.00000
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,11,118,1940,302,312881.00000,709412.00000,866.00000
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,6,55,1238,301,171009.00000,436810.00000,481.00000
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,36,152,4030,258,337253.00000,76629.00000,396.00000
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,22,213,4382,304,621989.00000,383571.00000,875.00000
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,1,28,231,36,19523.00000,875.00000,8.00000
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,1,8,52,8,2782.00000,376.00000,2.00000
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,5,43,709,249,142933.00000,208797.00000,264.00000
